COc1cc(B2OC(C)(C)C(C)(C)O2)cc(F)c1F ZINC000169936825
COc1cc(C)cc(B(O)O)c1OC ZINC000169946369
COCCOc1cc(B(O)O)ccc1C ZINC000169951565
N#Cc1ccc(B(O)O)cc1OCc1ccccc1 ZINC000169951581
COCOc1cccc(B(O)O)c1F ZINC000169951587
CCOc1c(OC)ccc(B(O)O)c1F ZINC000169951608
OB(O)c1ccc(Cl)c(OCc2cccnc2)c1 ZINC000169951649
CCOc1nccc(B(O)O)c1Cl ZINC000169951663
CC(C)Oc1nccc(B(O)O)c1Cl ZINC000169951666
CC(C)COc1nccc(B(O)O)c1Cl ZINC000169951669
CCCOc1c(OC)ccc(B(O)O)c1F ZINC000169951673
COc1ccc(B(O)O)c(F)c1OCC(C)C ZINC000169951675
COc1ccc(B(O)O)c(F)c1OC(C)C ZINC000169951677
CCCOc1c(F)c(C)cc(B(O)O)c1F ZINC000169951706
CCOc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169951834
COc1cc(OC(C)C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169951839
COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1C ZINC000169951930
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(Cl)c1Cl ZINC000169951936
COCCOc1c(F)c(C)cc(B(O)O)c1F ZINC000169955163
CC(C)COc1cc(B(O)O)ccc1C#N ZINC000169955194
Cc1cc(OC(C)C)c(F)c(B(O)O)c1 ZINC000169955212
CC(=O)Oc1cc(B(O)O)ccc1[N+](=O)[O-] ZINC000169955222
OB(O)c1ccc(F)c(OC2CCCC2)c1F ZINC000169955225
COc1ccc(B(O)O)c(F)c1OC1CCCC1 ZINC000169955297
CCOc1c(Cl)cc(B(O)O)cc1OC ZINC000169955325
CCOc1cc(B(O)O)cc(Cl)c1OCC ZINC000169955333
OB(O)c1ccc(C(F)(F)F)c(OCc2ccccc2)c1 ZINC000169955369
CC1(C)COc2cccc(B(O)O)c2OC1 ZINC000169955373
OB(O)c1cccc2c1OCC1(CC1)CO2 ZINC000169955376
OB(O)c1cc(Cl)c(F)c(OC2CCCC2)c1 ZINC000169955396
